idcama,idsalon
1,9
2,2
3,8
4,6
5,9
6,8
7,10
8,8
9,6
10,6
11,12
12,3
13,11
14,3
15,9
16,3
17,8
18,10
19,2
20,11
21,2
22,6
23,5
24,6
25,11
26,12
27,6
28,5
29,6
30,6
31,9
32,12
33,2
34,2
35,5
36,2
37,12
38,7
39,7
40,4
41,11
42,4
43,11
44,11
45,9
46,8
47,12
48,3
49,7
50,2
51,8
52,6
53,5
54,4
55,7
56,2
57,5
58,5
59,10
60,2
61,9
62,5
63,4
64,10
65,12
66,4
67,1
68,1
69,1
70,12
71,8
72,11
73,9
74,8
75,10
76,5
77,4
78,3
79,4
80,12
81,2
82,11
83,6
84,6
85,3
86,6
87,9
88,5
89,11
90,4
91,3
92,1
93,7
94,2
95,2
96,11
97,9
98,3
99,11
100,12
