iddireccion,distrito,idcanton
1,Carmen,1
2,Merced,1
3,Hospital,1
4,Escazu,2
5,San Antonio,2
6,San Rafael,2
7,Desamparados,3
8,San Miguel,3
9,San Juan de Dios,3
10,Santiago,4
11,Mercedes Sur,4
12,Barbacoas,4
13,Oriental,5
14,Occidental,5
15,Carmen,5
16,Paraiso,6
17,Santiago,6
18,Cachi,6
19,Tres Rios,7
20,San Diego,7
21,San Juan,7
22,Tucurrique,8
23,Pejibaye,8
24,Juan Vinas,8
25,Heredia,9
26,Mercedes,9
27,San Francisco,9
28,Barva,10
29,San Pedro,10
30,San Pablo,10
31,San Vicente,11
32,San Miguel,11
33,Santo Tomas,11
34,Santa Barbara,12
35,San Juan,12
36,Jesus,12
37,Limon,13
38,Valle la Estrella,13
39,Matama,13
40,Guapiles,14
41,Jimenez,14
42,Rita,14
43,Siquirres,15
44,Pacuarito,15
45,Florida,15
46,Bratsi,16
47,Sixaola,16
48,Cahuita,16
49,Liberia,17
50,Nacascolo,17
51,Mayorga,17
52,Nicoya,18
53,Mansion,18
54,San Antonio,18
55,Santa Cruz,19
56,Bolson,19
57,Tempate,19
58,Bagaces,20
59,La Fortuna,20
60,Mogote,20
61,San Isidro,21
62,Sabanilla,21
63,Desamparados,21
64,Santiago,22
65,San Juan,22
66,Piedades Norte,22
67,Grecia,23
68,San Isidro,23
69,Tacares,23
70,San Mateo,24
71,Desmonte,24
72,Jesus Maria,24
73,Lepanto,25
74,Paquera,25
75,Manzanillo,25
76,Puerto Cortes,26
77,Palmar,26
78,Sierpe,26
79,Pilas,27
80,Colinas,27
81,Boruca,27
82,Miramar,28
83,La Union,28
84,San Isidro,28
