nombre,descripcion
Alergia,"Las alergias, también llamadas reacciones de hipersensibilidad."
Bronquitis,La bronquitis es el resultado de la inflamación de los conductos que transportan el aire al interior de los pulmones.
Leucemia,La leucemia es una enfermedad de la sangre en la que la médula ósea produce glóbulos blancos anómalos.
Infección Renal,"Cuando las bacterias entran en sus riñones, pueden causar una infección."
Diabetes,La diabetes es una enfermedad en la que los niveles de glucosa (azúcar) de la sangre están muy altos.
Melanoma,El melanoma es un tipo de cáncer de piel que aparece cuando las células llamadas melanocitos se convierten en malignas.
Neumonia,La neumonía es una infección en uno o en los dos pulmones.
Obesidad,La obesidad es una enfermedad crónica tratable que aparece cuando existe un exceso de tejido adiposo (grasa) en el cuerpo.
Conjuntivitis,La conjuntivitis es una inflamación de la conjuntiva.
Osteoporosis,La osteoporosis es una enfermedad sistémica esquelética.
Pancreatitis,La pancreatitis es una inflamación del páncreas y puede ser aguda o crónica.
Rinitis,La rinitis es un trastorno que afecta a la mucosa nasal y que produce estornudos.
Sifilis,La sífilis es una infección de transmisión sexual (ITS) causada por la bacteria espiroqueta Treponema pallidum.
Tos Ferina,La tos ferina es una enfermedad infecto-contagiosa aguda que afecta al aparato respiratorio.
Vasculitis,Las vasculitis hacen referencia a un grupo de enfermedades diversas que producen la inflamación de los vasos sanguíneos.
Botulismo,El botulismo es una enfermedad causada por la bacteria Clostridium botulinum.
Dengue,El dengue es una enfermedad producida por un virus de la familia de los flavivirus.
Edema Pulmonar,Un edema pulmonar es una acumulación anormal de líquido en los pulmones que provoca dificultad respiratoria.
Faringitis,Es la inflamación de la garganta o faringe a menudo causada por una infección bacteriana o vírica.
Linfoma,Un linfoma es una proliferación maligna de linfocitos.
